id;unconsc Accuracy Day 1;unconscious Accuracy Day 2;ACC and mPFC;right PCC and Precuneus;left PCC
60100;0.4;0.6;-24.6192;-24.4;-7.807
60989;0.666666667;0.625;3.1176;-7.2597;17.4471
61350;0.666666667;0.476190476;3.6333;19.5755;19.6639
62015;0.464285714;0.305555556;-3.6258;14.3075;-12.4661
62038;0.612903226;0.510638298;19.9441;11.6569;28.1011
62150;0.333333333;0.444444444;-33.3347;-53.7386;-49.3994
62426;0.428571429;0.386363636;-22.0322;-7.2652;-2.7871
62428;0.465116279;0.511627907;-3.4595;-24.3038;-1.4122
63062;0.440677966;0.475409836;-16.8909;-8.2862;-13.9199
63896;0.448275862;0.566666667;-14.8036;-12.5653;-10.9212
65037;0.517241379;0.583333333;-9.1007;-40.2601;5.6008
65304;0.5;0.425531915;0.4667;-20.3766;8.7981
65399;0.58974359;0.594594595;0.6197;6.241;0.3746
65672;0.75;0.526315789;30.5242;87.8921;48.2693
66287;0.571428571;0.435483871;-7.567;17.6457;0.9325
66325;0.533333333;0.5;0.6036;-1.7128;-6.2853
66376;0.636363636;0.5;8.6905;26.2624;4.5941
67367;0.285714286;0.56;-38.2497;-48.6223;-32.6261
67475;0.641025641;0.413043478;9.2249;28.6805;0.4454
68576;0.531914894;0.490909091;-1.764;-2.6558;5.0109
