id;unconsc Accuracy Day 1;unconscious Accuracy Day 2;right ACC and mPFC;left temporal pole;right IFG
60100;0.4;0.6;-8.5765;-8.321933333;-22.09496667
60989;0.666666667;0.625;9.1344;12.09236667;12.2468
61350;0.666666667;0.476190476;2.209433333;4.850066667;7.183433333
62015;0.464285714;0.305555556;-4.180866667;-4.6453;-4.750866667
62038;0.612903226;0.510638298;4.209866667;-0.3351;6.405266667
62150;0.333333333;0.444444444;-13.9121;-1.298033333;-1.8199
62426;0.428571429;0.386363636;-7.941266667;4.0169;1.996533333
62428;0.465116279;0.511627907;-6.775;3.1118;-3.754166667
63062;0.440677966;0.475409836;-7.0248;-1.280233333;-1.7736
63896;0.448275862;0.566666667;0.529633333;0.883833333;-4.858233333
65037;0.517241379;0.583333333;-8.868466667;1.753833333;-4.215933333
65304;0.5;0.425531915;-2.434733333;-0.977933333;-1.555433333
65399;0.58974359;0.594594595;-2.998133333;3.5537;3.9597
65672;0.75;0.526315789;46.31776667;29.85513333;39.84176667
66287;0.571428571;0.435483871;-2.576333333;1.025166667;-1.201866667
66325;0.533333333;0.5;3.479133333;-0.948433333;1.693033333
66376;0.636363636;0.5;12.10323333;14.57273333;12.53223333
67367;0.285714286;0.56;-38.58936667;-11.68413333;-46.28186667
67475;0.641025641;0.413043478;9.698933333;6.869066667;-2.131333333
68576;0.531914894;0.490909091;-2.668366667;3.482066667;-5.700566667
